Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners
Region B,Country 17,12/17/2021,0016R0000377Qnd,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377QnE,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377Qni,Active,17-Dec-2021,,,
Region B,Country 4,12/17/2021,0016R0000377QnJ,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377Qnn,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region C,Country 16,12/23/2021,0016R0000377qNO,Active,23-Dec-2021,,,1
Region B,Country 2,12/17/2021,0016R0000377QnO,Active,17-Dec-2021,,,
Region B,Country 4,12/17/2021,0016R0000377QnP,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 17,12/17/2021,0016R0000377Qns,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 9,12/17/2021,0016R0000377QnT,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377Qnx,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377QnY,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/23/2021,0016R0000377qO2,Onboarding,,,1/13/2022 5:58 AM,1
Region B,Country 4,12/17/2021,0016R0000377Qo2,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/23/2021,0016R0000377qO3,Onboarding,,,1/13/2022 5:58 AM,1
Region B,Country 2,12/23/2021,0016R0000377qO4,Onboarding,,,1/13/2022 5:58 AM,1
Region B,Country 2,12/23/2021,0016R0000377qO5,Onboarding,,,1/13/2022 5:58 AM,1
Region B,Country 2,12/17/2021,0016R0000377Qo7,Active,17-Dec-2021,,,
Region B,Country 2,12/23/2021,0016R0000377qOb,Onboarding,,,1/13/2022 5:58 AM,1
Region B,Country 9,12/17/2021,0016R0000377Qob,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/17/2021,0016R0000377QoC,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/23/2021,0016R0000377qOc,Onboarding,,,1/13/2022 5:58 AM,1
Region B,Country 17,12/17/2021,0016R0000377QoD,Active,17-Dec-2021,,1/14/2022 5:41 AM,
Region B,Country 2,12/23/2021,0016R0000377qOd,Onboarding,,,1/13/2022 5:58 AM,1
Region B,Country 2,12/23/2021,0016R0000377qOe,Onboarding,,,1/13/2022 5:58 AM,1
Region B,Country 4,12/17/2021,0016R0000377QoE,Active,17-Dec-2021,,,
Region B,Country 2,12/17/2021,0016R0000377Qog,Active,17-Dec-2021,,1/14/2022 5:41 AM,
